id,date,title,upv,pv,ply,toc,atoc,cply,cpv,cupv
100012702,2017-02-16,Tình Hè Rực Cháy (Summer Love),14171,31516,15480,8131:08:46,00:31:48,15480,31516,14171
100012702,2017-02-17,Tình Hè Rực Cháy (Summer Love),7276,16154,7854,4219:10:37,00:32:24,23334,47670,21447
100012702,2017-02-18,Tình Hè Rực Cháy (Summer Love),5184,11238,5580,3245:38:53,00:34:48,28914,58908,26631
100016115,2017-01-25,Đảo Hải Tặc (900 Tập) (One Piece),11763,18290,66882,17773:43:56,00:16:12,66882,18290,11763
100016115,2017-01-26,Đảo Hải Tặc (900 Tập) (One Piece),10635,17273,61664,16334:46:06,00:15:36,128546,35563,22398
100016115,2017-01-27,Đảo Hải Tặc (900 Tập) (One Piece),10070,17049,54726,14316:13:32,00:15:36,183272,52612,32468
100016115,2017-01-28,Đảo Hải Tặc (900 Tập) (One Piece),7835,13286,41828,10985:31:56,00:15:36,225100,65898,40303
100016115,2017-01-29,Đảo Hải Tặc (900 Tập) (One Piece),7702,13936,43994,11589:04:31,00:15:36,269094,79834,48005
100016115,2017-01-30,Đảo Hải Tặc (900 Tập) (One Piece),7868,14698,47519,12605:18:18,00:16:12,316613,94532,55873
100016115,2017-01-31,Đảo Hải Tặc (900 Tập) (One Piece),8381,15428,52577,14162:04:01,00:16:12,369190,109960,64254
100016115,2017-02-01,Đảo Hải Tặc (900 Tập) (One Piece),8897,15971,55413,14940:52:17,00:16:12,424603,125931,73151
100016115,2017-02-02,Đảo Hải Tặc (900 Tập) (One Piece),10245,15999,55316,15036:47:25,00:16:12,479919,141930,83396
100016115,2017-02-03,Đảo Hải Tặc (900 Tập) (One Piece),11027,15536,57404,15584:51:56,00:16:12,537323,157466,94423
100016115,2017-02-04,Đảo Hải Tặc (900 Tập) (One Piece),11031,16711,64662,17559:46:51,00:16:12,601985,174177,105454
100016115,2017-02-05,Đảo Hải Tặc (900 Tập) (One Piece),10986,17387,62744,16932:07:55,00:16:12,664729,191564,116440
100016115,2017-02-06,Đảo Hải Tặc (900 Tập) (One Piece),9239,13251,43560,11866:09:32,00:16:12,708289,204815,125679
100016115,2017-02-07,Đảo Hải Tặc (900 Tập) (One Piece),9059,12508,41760,11394:08:14,00:16:12,750049,217323,134738
100016115,2017-02-08,Đảo Hải Tặc (900 Tập) (One Piece),8310,12118,40372,10987:34:08,00:16:12,790421,229441,143048
100016115,2017-02-09,Đảo Hải Tặc (900 Tập) (One Piece),8143,12551,41482,11254:20:29,00:16:12,831903,241992,151191
100016115,2017-02-10,Đảo Hải Tặc (900 Tập) (One Piece),7918,12606,41538,11217:51:45,00:16:12,873441,254598,159109
100016115,2017-02-11,Đảo Hải Tặc (900 Tập) (One Piece),9564,15946,54570,14599:29:03,00:16:12,928011,270544,168673
100016115,2017-02-12,Đảo Hải Tặc (900 Tập) (One Piece),9794,17054,55935,14998:09:15,00:16:12,983946,287598,178467
